"adm_level","adm0_code","adm0_name","adm1_code","adm1_name","adm2_code","adm2_name","reference_period_start","reference_period_end","id","is_zhai_covered","adm_code","adm_name"
"2","AF","Afghanistan","AF14","Khost","AF1409","Bak","true","","34911","true","AF1409","Bak"
"2","AF","Afghanistan","AF17","Badakhshan","AF1715","Keshem","true","","34983","true","AF1715","Keshem"
"2","AF","Afghanistan","AF12","Paktika","AF1206","Omna","true","","34984","true","AF1206","Omna"
"2","AF","Afghanistan","AF14","Khost","AF1405","Musa Khel","true","","34985","true","AF1405","Musa Khel"
"2","AF","Afghanistan","AF29","Faryab","AF2909","Dawlat Abad","true","","34986","true","AF2909","Dawlat Abad"
"2","AF","Afghanistan","AF01","Kabul","AF0114","Qara Bagh","true","","34987","true","AF0114","Qara Bagh"
"2","AF","Afghanistan","AF31","Badghis","AF3102","Ab Kamari","true","","34988","true","AF3102","Ab Kamari"
"2","AF","Afghanistan","AF32","Hirat","AF3209","Adraskan","true","","34989","true","AF3209","Adraskan"
"1","GH","Ghana","GH01","Ahafo","","","2021-03-08T00:00:00","","1004","true","GH01","Ahafo"
"2","TZ","United Republic of Tanzania","TZ14","Tabora","TZ1403","Uyui","true","","35181","true","TZ1403","Uyui"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0406","Handeni","true","","35182","true","TZ0406","Handeni"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0410","Handeni Mji","true","","35183","true","TZ0410","Handeni Mji"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0407","Kilindi","true","","35184","true","TZ0407","Kilindi"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0402","Korogwe","true","","35185","true","TZ0402","Korogwe"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0409","Korogwe Township Authority","true","","35186","true","TZ0409","Korogwe Township Authority"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0401","Lushoto","true","","35187","true","TZ0401","Lushoto"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0408","Mkinga","true","","35188","true","TZ0408","Mkinga"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0403","Muheza","true","","35189","true","TZ0403","Muheza"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0405","Pangani","true","","35190","true","TZ0405","Pangani"
"2","TZ","United Republic of Tanzania","TZ04","Tanga","TZ0404","Tanga Urban","true","","35191","true","TZ0404","Tanga Urban"
"0","AF","Afghanistan","","","","","true","","34554","true","AF","Afghanistan"
"1","AF","Afghanistan","AF11","Ghazni","","","true","","34555","true","AF11","Ghazni"
"1","AF","Afghanistan","AF34","Nimroz","","","true","","34556","true","AF34","Nimroz"
"1","AF","Afghanistan","AF16","Nuristan","","","true","","34557","true","AF16","Nuristan"
"1","AF","Afghanistan","AF25","Uruzgan","","","true","","34558","true","AF25","Uruzgan"
"1","AF","Afghanistan","AF02","Kapisa","","","true","","34559","true","AF02","Kapisa"
"1","AF","Afghanistan","AF12","Paktika","","","true","","34560","true","AF12","Paktika"
"1","AF","Afghanistan","AF19","Kunduz","","","true","","34561","true","AF19","Kunduz"
"1","AF","Afghanistan","AF30","Hilmand","","","true","","34562","true","AF30","Hilmand"
"1","AF","Afghanistan","AF24","Daykundi","","","true","","34563","true","AF24","Daykundi"
"1","AF","Afghanistan","AF26","Zabul","","","true","","34564","true","AF26","Zabul"
"1","AF","Afghanistan","AF27","Kandahar","","","true","","34565","true","AF27","Kandahar"
"1","AF","Afghanistan","AF29","Faryab","","","true","","34566","true","AF29","Faryab"
"1","AF","Afghanistan","AF08","Panjsher","","","true","","34567","true","AF08","Panjsher"
"1","AF","Afghanistan","AF28","Jawzjan","","","true","","34568","true","AF28","Jawzjan"
"1","AF","Afghanistan","AF10","Bamyan","","","true","","34569","true","AF10","Bamyan"
"1","AF","Afghanistan","AF01","Kabul","","","true","","34570","true","AF01","Kabul"
"1","AF","Afghanistan","AF31","Badghis","","","true","","34571","true","AF31","Badghis"
"1","AF","Afghanistan","AF33","Farah","","","true","","34572","true","AF33","Farah"
"1","AF","Afghanistan","AF13","Paktya","","","true","","34573","true","AF13","Paktya"
"1","AF","Afghanistan","AF22","Sar-e-Pul","","","true","","34574","true","AF22","Sar-e-Pul"
"1","AF","Afghanistan","AF04","Maidan Wardak","","","true","","34575","true","AF04","Maidan Wardak"
"1","AF","Afghanistan","AF21","Balkh","","","true","","34576","true","AF21","Balkh"
"1","AF","Afghanistan","AF18","Takhar","","","true","","34577","true","AF18","Takhar"
"1","AF","Afghanistan","AF07","Laghman","","","true","","34578","true","AF07","Laghman"
"1","AF","Afghanistan","AF20","Samangan","","","true","","34579","true","AF20","Samangan"
"1","AF","Afghanistan","AF05","Logar","","","true","","34580","true","AF05","Logar"
"1","AF","Afghanistan","AF15","Kunar","","","true","","34581","true","AF15","Kunar"
"1","AF","Afghanistan","AF17","Badakhshan","","","true","","34582","true","AF17","Badakhshan"
"1","AF","Afghanistan","AF09","Baghlan","","","true","","34583","true","AF09","Baghlan"
"1","AF","Afghanistan","AF03","Parwan","","","true","","34584","true","AF03","Parwan"
"1","AF","Afghanistan","AF14","Khost","","","true","","34585","true","AF14","Khost"
"1","AF","Afghanistan","AF32","Hirat","","","true","","34586","true","AF32","Hirat"
"1","AF","Afghanistan","AF06","Nangarhar","","","true","","34587","true","AF06","Nangarhar"
"1","AF","Afghanistan","AF23","Ghor","","","true","","34588","true","AF23","Ghor"
"2","AF","Afghanistan","AF17","Badakhshan","AF1705","Khash","true","","34589","true","AF1705","Khash"
"2","AF","Afghanistan","AF20","Samangan","AF2002","Hazrat-e-Sultan","true","","34590","true","AF2002","Hazrat-e-Sultan"
"2","AF","Afghanistan","AF05","Logar","AF0501","Pul-e-Alam","true","","34591","true","AF0501","Pul-e-Alam"
"2","AF","Afghanistan","AF12","Paktika","AF1202","Mata Khan","true","","34592","true","AF1202","Mata Khan"
"2","AF","Afghanistan","AF22","Sar-e-Pul","AF2206","Gosfandi","true","","34593","true","AF2206","Gosfandi"
"2","AF","Afghanistan","AF13","Paktya","AF1310","Chamkani","true","","34594","true","AF1310","Chamkani"
"2","AF","Afghanistan","AF17","Badakhshan","AF1712","Shuhada","true","","34595","true","AF1712","Shuhada"
"2","AF","Afghanistan","AF16","Nuristan","AF1602","Waygal","true","","34596","true","AF1602","Waygal"
"2","AF","Afghanistan","AF21","Balkh","AF2113","Kaldar","true","","34597","true","AF2113","Kaldar"
"2","AF","Afghanistan","AF08","Panjsher","AF0807","Paryan","true","","34598","true","AF0807","Paryan"
"2","AF","Afghanistan","AF28","Jawzjan","AF2804","Mingajik","true","","34599","true","AF2804","Mingajik"
"2","AF","Afghanistan","AF27","Kandahar","AF2709","Ghorak","true","","34600","true","AF2709","Ghorak"
"2","AF","Afghanistan","AF24","Daykundi","AF2402","Shahrestan","true","","34601","true","AF2402","Shahrestan"
"2","AF","Afghanistan","AF21","Balkh","AF2116","Sharak-e-Hayratan","true","","34602","true","AF2116","Sharak-e-Hayratan"
"2","AF","Afghanistan","AF25","Uruzgan","AF2506","Chinarto","true","","34603","true","AF2506","Chinarto"
"2","AF","Afghanistan","AF27","Kandahar","AF2704","Panjwayi","true","","34604","true","AF2704","Panjwayi"
"2","AF","Afghanistan","AF23","Ghor","AF2306","Shahrak","true","","34605","true","AF2306","Shahrak"
"2","AF","Afghanistan","AF33","Farah","AF3309","Lash-e-Juwayn","true","","34606","true","AF3309","Lash-e-Juwayn"
"2","AF","Afghanistan","AF03","Parwan","AF0307","Ghorband","true","","34607","true","AF0307","Ghorband"
"2","AF","Afghanistan","AF29","Faryab","AF2902","Pashtun Kot","true","","34608","true","AF2902","Pashtun Kot"
"2","AF","Afghanistan","AF21","Balkh","AF2105","Marmul","true","","34609","true","AF2105","Marmul"
"2","AF","Afghanistan","AF19","Kunduz","AF1905","Imam Sahib","true","","34610","true","AF1905","Imam Sahib"
"2","AF","Afghanistan","AF14","Khost","AF1411","Spera","true","","34611","true","AF1411","Spera"
"2","AF","Afghanistan","AF32","Hirat","AF3212","Obe","true","","34612","true","AF3212","Obe"
"2","AF","Afghanistan","AF15","Kunar","AF1509","Chawkay","true","","34613","true","AF1509","Chawkay"
"2","AF","Afghanistan","AF01","Kabul","AF0115","Surobi","true","","34614","true","AF0115","Surobi"
"2","AF","Afghanistan","AF30","Hilmand","AF3013","Deh-e-Shu","true","","34615","true","AF3013","Deh-e-Shu"
"2","AF","Afghanistan","AF11","Ghazni","AF1106","Jaghatu","true","","34616","true","AF1106","Jaghatu"
"2","AF","Afghanistan","AF17","Badakhshan","AF1711","Teshkan","true","","34617","true","AF1711","Teshkan"
"2","AF","Afghanistan","AF24","Daykundi","AF2403","Ashtarlay","true","","34618","true","AF2403","Ashtarlay"
"2","AF","Afghanistan","AF23","Ghor","AF2304","Charsadra","true","","34619","true","AF2304","Charsadra"
"2","AF","Afghanistan","AF20","Samangan","AF2001","Aybak","true","","34620","true","AF2001","Aybak"
"2","AF","Afghanistan","AF16","Nuristan","AF1604","Nurgaram","true","","34621","true","AF1604","Nurgaram"
"2","AF","Afghanistan","AF15","Kunar","AF1513","Chapa Dara","true","","34622","true","AF1513","Chapa Dara"
"2","AF","Afghanistan","AF14","Khost","AF1410","Qalandar","true","","34623","true","AF1410","Qalandar"
"2","AF","Afghanistan","AF11","Ghazni","AF1112","Giro","true","","34624","true","AF1112","Giro"
"2","AF","Afghanistan","AF04","Maidan Wardak","AF0403","Jalrez","true","","34625","true","AF0403","Jalrez"
"2","AF","Afghanistan","AF11","Ghazni","AF1104","Waghaz","true","","34626","true","AF1104","Waghaz"
"2","AF","Afghanistan","AF25","Uruzgan","AF2505","Khas Uruzgan","true","","34627","true","AF2505","Khas Uruzgan"
"2","AF","Afghanistan","AF17","Badakhshan","AF1708","Kohistan","true","","34628","true","AF1708","Kohistan"
"2","AF","Afghanistan","AF01","Kabul","AF0108","Mir Bacha Kot","true","","34629","true","AF0108","Mir Bacha Kot"
"2","AF","Afghanistan","AF24","Daykundi","AF2405","Kiti","true","","34630","true","AF2405","Kiti"
"2","AF","Afghanistan","AF02","Kapisa","AF0201","Mahmood-e-Raqi","true","","34631","true","AF0201","Mahmood-e-Raqi"
"2","AF","Afghanistan","AF25","Uruzgan","AF2507","Gizab","true","","34632","true","AF2507","Gizab"
"2","AF","Afghanistan","AF14","Khost","AF1412","Shamal","true","","34633","true","AF1412","Shamal"
"2","AF","Afghanistan","AF13","Paktya","AF1307","Jaji","true","","34634","true","AF1307","Jaji"
"2","AF","Afghanistan","AF06","Nangarhar","AF0602","Behsud","true","","34635","true","AF0602","Behsud"
"2","AF","Afghanistan","AF13","Paktya","AF1308","Lija Ahmad Khel","true","","34636","true","AF1308","Lija Ahmad Khel"
"2","AF","Afghanistan","AF26","Zabul","AF2610","Shamul Zayi","true","","34637","true","AF2610","Shamul Zayi"
"2","AF","Afghanistan","AF06","Nangarhar","AF0617","Muhmand Dara","true","","34638","true","AF0617","Muhmand Dara"
"2","AF","Afghanistan","AF11","Ghazni","AF1113","Ab Band","true","","34639","true","AF1113","Ab Band"
"2","AF","Afghanistan","AF28","Jawzjan","AF2811","Darzab","true","","34640","true","AF2811","Darzab"
"2","AF","Afghanistan","AF32","Hirat","AF3208","Gulran","true","","34641","true","AF3208","Gulran"
"2","AF","Afghanistan","AF18","Takhar","AF1803","Baharak","true","","34642","true","AF1803","Baharak"
"2","AF","Afghanistan","AF27","Kandahar","AF2705","Zheray","true","","34643","true","AF2705","Zheray"
"2","AF","Afghanistan","AF26","Zabul","AF2607","Daychopan","true","","34644","true","AF2607","Daychopan"
"2","AF","Afghanistan","AF15","Kunar","AF1503","Watapur","true","","34645","true","AF1503","Watapur"
"2","AF","Afghanistan","AF11","Ghazni","AF1114","Jaghuri","true","","34646","true","AF1114","Jaghuri"
"2","AF","Afghanistan","AF34","Nimroz","AF3402","Kang","true","","34647","true","AF3402","Kang"
"2","AF","Afghanistan","AF13","Paktya","AF1309","Jani Khel","true","","34648","true","AF1309","Jani Khel"
"2","AF","Afghanistan","AF16","Nuristan","AF1605","Duab","true","","34649","true","AF1605","Duab"
"2","AF","Afghanistan","AF32","Hirat","AF3203","Guzara","true","","34650","true","AF3203","Guzara"
"2","AF","Afghanistan","AF01","Kabul","AF0112","Farza","true","","34651","true","AF0112","Farza"
"2","AF","Afghanistan","AF01","Kabul","AF0106","Shakar Dara","true","","34652","true","AF0106","Shakar Dara"
"2","AF","Afghanistan","AF14","Khost","AF1413","Jaji Maydan","true","","34653","true","AF1413","Jaji Maydan"
"2","AF","Afghanistan","AF06","Nangarhar","AF0621","Hesarak","true","","34654","true","AF0621","Hesarak"
"2","AF","Afghanistan","AF17","Badakhshan","AF1726","Koran Wa Monjan","true","","34655","true","AF1726","Koran Wa Monjan"
"2","AF","Afghanistan","AF24","Daykundi","AF2409","Patoo","true","","34656","true","AF2409","Patoo"
"2","AF","Afghanistan","AF07","Laghman","AF0704","Alingar","true","","34657","true","AF0704","Alingar"
