"id","created_at","updated_at","name","cluster"
"669","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","land seizures","land-related issues"
"670","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","slashed export","economic issues"
"671","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","price rise","economic issues"
"672","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","mass hunger","food crisis"
"673","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","cyclone","weather shocks"
"674","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","failed crops","agricultural production issues"
"675","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","disruption to farming","agricultural production issues"
"676","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","massive starvation","food crisis"
"677","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","abnormally low rainfall","weather shocks"
"678","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","withheld relief","humanitarian aid"
"679","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","international alarm","humanitarian aid"
"680","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","reduced national output","economic issues"
"681","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","oppressive regimes","political instability"
"682","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","pests","pests and diseases"
"683","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","continued deterioration","other"
"684","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","forests destroyed","land-related issues"
"685","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","man-made disaster","other"
"686","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","food insecurity","food crisis"
"687","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","harvests are devastated","agricultural production issues"
"688","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","humanitarian situation","humanitarian aid"
"689","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","economic impoverishment","economic issues"
"690","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","clan battle","conflicts and violence"
"691","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","population crisis","other"
"692","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","aid appeal","humanitarian aid"
"693","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","weather extremes","weather shocks"
"694","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","anti-western policies","political instability"
"695","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","rinderpest","pests and diseases"
"696","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","inadequate rainfall","weather shocks"
"697","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","lack of authority","political instability"
"698","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","acute hunger","food crisis"
"699","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","foreign troops","conflicts and violence"
"700","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","increased external debt","economic issues"
"701","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","drought","weather shocks"
"702","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","conflict","conflicts and violence"
"703","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","failed rains","weather shocks"
"704","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","makeshift camps","forced displacement"
"705","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","civilians uprooted","forced displacement"
"706","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","dysfunction","food crisis"
"707","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","foreign aid","humanitarian aid"
"708","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","violent suppression","conflicts and violence"
"709","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","military dictatorship","political instability"
"710","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","climatic hazards","weather shocks"
"711","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","migration","forced displacement"
"712","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","land grab","land-related issues"
"713","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","terrorism","conflicts and violence"
"714","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","bombing campaign","conflicts and violence"
"715","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","collapsing economy","economic issues"
"716","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","military junta","political instability"
"717","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","climate change","environmental issues"
"718","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","rising inflation","economic issues"
"719","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","international terrorists","conflicts and violence"
"720","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","cycle of poverty","economic issues"
"721","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","bad harvests","agricultural production issues"
"722","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","destructive pattern","conflicts and violence"
